vin,year,model,body,trim,engine,transmission,drivetrain,exterior_color,msrp,dealer,location,ordernum,json
1G6KE5RS2LU100001,2020,CT6,SEDAN,PREMIUM LUXURY,"3.6L V6, DI, VVT",A10,AWD,MANHATTAN NOIR METALLIC,76115,GENERAL MOTORS LLC,"WARREN, MI 48092-2709",WVZV3V,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KJ69', 'vin': '1G6KE5RS2LU100001', 'sitedealer_code': '31111', 'sell_source': '12', 'order_number': 'WVZV3V', 'creation_date': '10/15/2019', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'GCI', 'HD7', 'HS1', 'HTX', 'IOT', 'I20', 'J56', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LGX', 'MAH', 'MHS', 'NTB', 'NYS', 'N30', 'OAR', 'PYZ', 'QP1', 'RTJ', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VHM', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V3L', 'V8D', 'WD0', 'WML', 'XVR', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCD', '1SD', '1SZ', '4J1', '6HG', '7HG', '8HV', '9HV']}"
1G6KW5RJ0LU100003,2020,CT6,SEDAN,V-SERIES,"4.2L BLACKWING TWIN TURBO V8, SIDI, DOHC, VVT",A10,AWD,MANHATTAN NOIR METALLIC,97815,GENERAL MOTORS LLC,"MILFORD, MI 48380-3727",WVZV56,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KN69', 'vin': '1G6KW5RJ0LU100003', 'sitedealer_code': '34130', 'sell_source': '12', 'order_number': 'WVZV56', 'creation_date': '2/14/2020', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'B6A', 'B86', 'CJ2', 'CWA', 'C3U', 'DEH', 'DNP', 'DRZ', 'D59', 'EF7', 'FE3', 'FE9', 'FHO', 'FTF', 'F46', 'F55', 'GCI', 'G80', 'HD7', 'HS1', 'HTX', 'IOT', 'I20', 'JBP', 'JE2', 'J6H', 'KA1', 'KA6', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LTA', 'MAH', 'MFI', 'MHW', 'NPP', 'NP5', 'NTB', 'NYS', 'OAR', 'PZ1', 'RTH', 'R8E', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UHX', 'UKC', 'UKJ', 'UKK', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'U2M', 'VHM', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V03', 'V8D', 'WML', 'W7X', 'XVR', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCH', '1SV', '1SZ', '4J1', '5EH', '6JB', '7JB', '8EH', '8HS', '9HS']}"
1G6KV5RJ9LU100004,2020,CT6,SEDAN,PLATINUM,"4.2L BLACKWING TWIN TURBO V8, SIDI, DOHC, VVT",A10,AWD,STELLAR BLACK METALLIC,98790,GENERAL MOTORS LLC,"DETROIT, MI 48265-1000",WVZV2R,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KM69', 'vin': '1G6KV5RJ9LU100004', 'sitedealer_code': '35104', 'sell_source': '12', 'order_number': 'WVZV2R', 'creation_date': '2/14/2020', 'Options': ['AL0', 'AQ9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'E2C', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'GB8', 'HD7', 'HK1', 'HS1', 'IOT', 'I20', 'JBP', 'J6H', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LTA', 'MAH', 'MHW', 'NTB', 'NYS', 'N30', 'OAR', 'PZ1', 'QP1', 'RQ9', 'R7V', 'R8E', 'R9N', 'R9Z', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VHM', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V03', 'V3L', 'V8D', 'WML', 'XVR', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCH', 'ZR6', '1SP', '1SZ', '4FR', '6JC', '7JC', '8HR', '9HR']}"
1G6KE5RSXLU100005,2020,CT6,SEDAN,PREMIUM LUXURY,"3.6L V6, DI, VVT",A10,AWD,BLACK RAVEN,75490,GENERAL MOTORS LLC,"WARREN, MI 48092-2709",WVZV3W,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KJ69', 'vin': '1G6KE5RSXLU100005', 'sitedealer_code': '31111', 'sell_source': '12', 'order_number': 'WVZV3W', 'creation_date': '3/23/2020', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'GBA', 'HD7', 'HMQ', 'HS1', 'IOT', 'I20', 'J56', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LGX', 'MAH', 'MHS', 'NTB', 'NYS', 'N30', 'OAR', 'PYZ', 'QP1', 'RTJ', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VHM', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V3L', 'V8D', 'WD0', 'WML', 'XVR', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCD', '1SD', '1SZ', '4GP', '6HG', '7HG', '8HV', '9HV']}"
1G6KV5RJ2LU100006,2020,CT6,SEDAN,PLATINUM,"4.2L BLACKWING TWIN TURBO V8, SIDI, DOHC, VVT",A10,AWD,STELLAR BLACK METALLIC,98790,GENERAL MOTORS LLC,"WARREN, MI 48092-2709",WVZV5G,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KM69', 'vin': '1G6KV5RJ2LU100006', 'sitedealer_code': '31111', 'sell_source': '12', 'order_number': 'WVZV5G', 'creation_date': '2/14/2020', 'Options': ['AL0', 'AQ9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'GB8', 'HD7', 'HK1', 'HS1', 'IOT', 'I20', 'JBP', 'J6H', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LTA', 'MAH', 'MHW', 'NTB', 'NYS', 'N30', 'OAR', 'PZ1', 'QP1', 'RQ9', 'R8E', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VHM', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V03', 'V3L', 'V8D', 'WD0', 'WML', 'XVR', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCH', '1SP', '1SZ', '4FR', '6JC', '7JC', '8HR', '9HR']}"
1G6KW5RJ8LU100007,2020,CT6,SEDAN,V-SERIES,"4.2L BLACKWING TWIN TURBO V8, SIDI, DOHC, VVT",A10,AWD,MANHATTAN NOIR METALLIC,97815,GENERAL MOTORS LLC,"DETROIT, MI 48265-1000",WVZV1W,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KN69', 'vin': '1G6KW5RJ8LU100007', 'sitedealer_code': '35104', 'sell_source': '12', 'order_number': 'WVZV1W', 'creation_date': '7/17/2020', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'B6A', 'B86', 'CJ2', 'CWA', 'C3U', 'DEH', 'DNP', 'DRZ', 'D59', 'EF7', 'E2C', 'FE3', 'FE9', 'FHO', 'FTF', 'F46', 'F55', 'GCI', 'G80', 'HD7', 'HS1', 'HTX', 'IOT', 'I20', 'JBP', 'JE2', 'J6H', 'KA1', 'KA6', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LTA', 'MAH', 'MFI', 'MHW', 'NPP', 'NP5', 'NTB', 'NYS', 'OAR', 'PZ1', 'RTH', 'R7V', 'R8E', 'R9N', 'R9Z', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UHX', 'UKC', 'UKJ', 'UKK', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'U2M', 'VHM', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V03', 'V8D', 'WML', 'W7X', 'XVR', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCH', 'ZR6', '1SV', '1SZ', '4J1', '5EH', '6JB', '7JB', '8EH', '8HS', '9HS']}"
1G6KW5RJXLU100008,2020,CT6,SEDAN,V-SERIES,"4.2L BLACKWING TWIN TURBO V8, SIDI, DOHC, VVT",A10,AWD,CRYSTAL WHITE TRICOAT,98415,GENERAL MOTORS LLC,"WARREN, MI 48092-2709",WVZV5Z,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KN69', 'vin': '1G6KW5RJXLU100008', 'sitedealer_code': '31111', 'sell_source': '12', 'order_number': 'WVZV5Z', 'creation_date': '2/14/2020', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'B6A', 'B86', 'CJ2', 'CWA', 'C3U', 'DEH', 'DNP', 'DRZ', 'D59', 'EF7', 'FE3', 'FE9', 'FHO', 'FTF', 'F46', 'F55', 'G1W', 'G80', 'HD7', 'HS1', 'HTX', 'IOT', 'I20', 'JBP', 'JE2', 'J6H', 'KA1', 'KA6', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LTA', 'MAH', 'MFI', 'MHW', 'NPP', 'NP5', 'NTB', 'NYS', 'OAR', 'PZ1', 'RTH', 'R8E', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UHX', 'UKC', 'UKJ', 'UKK', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'U2M', 'VHM', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V03', 'V8D', 'WD0', 'WML', 'W7X', 'XVR', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCH', '1SV', '1SZ', '4J1', '5EH', '6JB', '7JB', '8EH', '8HS', '9HS']}"
1G6KV5RJ8LU100009,2020,CT6,SEDAN,PLATINUM,"4.2L BLACKWING TWIN TURBO V8, SIDI, DOHC, VVT",A10,AWD,SHADOW METALLIC,98790,GENERAL MOTORS LLC,"WARREN, MI 48092-2709",WVZV5H,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KM69', 'vin': '1G6KV5RJ8LU100009', 'sitedealer_code': '31111', 'sell_source': '12', 'order_number': 'WVZV5H', 'creation_date': '12/31/2019', 'Options': ['AL0', 'AQ9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'GJI', 'HD7', 'HIZ', 'HS1', 'IOT', 'I20', 'JBP', 'J6H', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LTA', 'MAH', 'MHW', 'NTB', 'NYS', 'N30', 'OAR', 'PZ1', 'QP1', 'RQ9', 'R8E', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VHM', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V03', 'V3L', 'V8D', 'WD0', 'WML', 'XVR', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCH', '1SP', '1SZ', '4AA', '6JC', '7JC', '8HR', '9HR']}"
1G6KV5RJ4LU100010,2020,CT6,SEDAN,PLATINUM,"4.2L BLACKWING TWIN TURBO V8, SIDI, DOHC, VVT",A10,AWD,SHADOW METALLIC,98790,GENERAL MOTORS LLC,"MILFORD, MI 48380-3727",WVZV6C,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KM69', 'vin': '1G6KV5RJ4LU100010', 'sitedealer_code': '34130', 'sell_source': '12', 'order_number': 'WVZV6C', 'creation_date': '2/14/2020', 'Options': ['AL0', 'AQ9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'GJI', 'HD7', 'HIZ', 'HS1', 'IOT', 'I20', 'JBP', 'J6H', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LTA', 'MAH', 'MHW', 'NTB', 'NYS', 'N30', 'OAR', 'PZ1', 'QP1', 'RQ9', 'R8E', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VHM', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V03', 'V3L', 'V8D', 'WML', 'XVR', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCH', '1SP', '1SZ', '4AA', '6JC', '7JC', '8HR', '9HR']}"
1G6KW5RJXLU100011,2020,CT6,SEDAN,V-SERIES,"4.2L BLACKWING TWIN TURBO V8, SIDI, DOHC, VVT",A10,AWD,RED HORIZON TINTCOAT,98415,GENERAL MOTORS LLC,"WARREN, MI 48092-2709",WVZV5X,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KN69', 'vin': '1G6KW5RJXLU100011', 'sitedealer_code': '31111', 'sell_source': '12', 'order_number': 'WVZV5X', 'creation_date': '12/21/2019', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'B6A', 'B86', 'CJ2', 'CWA', 'C3U', 'DEH', 'DNP', 'DRZ', 'D59', 'EF7', 'FE3', 'FE9', 'FHO', 'FTF', 'F46', 'F55', 'GPJ', 'G80', 'HD7', 'HS1', 'H2X', 'IOT', 'I20', 'JBP', 'JE2', 'J6H', 'KA1', 'KA6', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LTA', 'MAH', 'MFI', 'MHW', 'NPP', 'NP5', 'NTB', 'NYS', 'OAR', 'PZ1', 'RTH', 'R8E', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UHX', 'UKC', 'UKJ', 'UKK', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'U2M', 'VHM', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V03', 'V8D', 'WD0', 'WML', 'W7X', 'XVR', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCH', '1SV', '1SZ', '4AA', '5EH', '6JB', '7JB', '8EH', '8HS', '9HS']}"
