Vin,Sequence,Ident,Trim,Drivetrain,Engine Type,,1,,C,6,S,,R,,F,,U,,9,,2,,P,,N,,500367
1C6SRFU92PN500367,500367,FU9,TRX,4WD,8 Cylinder Super,,Manufacture Location,,Manufacturer,,Model,,Body Style,,Model Variant,,Engine,,Restraint System,,Check Digit,,Model Year,,Assembly Plant,,Sequence
1C6SRFU92PN500367,500367,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,,,,,,,,,,,
1C6SRFU92PN500515,500515,FU9,TRX,4WD,8 Cylinder Super,,1,USA,Chrysler/Dodge,,S,,R,Truck,F,,U,6.2L Supercharged HEMI® V8 SRT®,9,,Calculated,,P,2023,N,STERLING HEIGHTS ASSEMBLY PLANT,
1C6SRFU90PN500674,500674,FU9,TRX,4WD,8 Cylinder Super,,3,Mexico,,,R,,,,E,,H,5.7L V8 HEMI® MDS VVT eTorque w/ Stop/Start,T,,,,,,S,WARREN TRUCK ASSEMBLY,
1C6SRFU98PN501409,501409,FU9,TRX,4WD,8 Cylinder Super,,,,,,J,,,,7,,L,3.6L V6 24V VVT eTorque with Stop/Start,G,,,,,,G,SALTILLO TRUCK ASSEMBLY,
1C6SRFHT9PN501635,501635,FHT,Limited,4WD,8 Cylinder,,,,,,,,,,6,,J,5.7L V8 HEMI® MDS VVT eTorque w/ Stop/Start (4x2),M,,,,,,,,
1C6SRFU94PN501889,501889,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,B,,,,,,,,,,
1C6SRFU9XPN502092,502092,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,M,5.7L V8 HEMI® MDS VVT eTorque w/ Stop/Start (4x4) Big Horn,,,,,,,,,
1C6SRFU95PN502307,502307,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,K,5.7L V8 HEMI® MDS VVT eTorque w/ Stop/Start (4x4) Longhorn,,,,,,,,,
1C6SRFU99PN502326,502326,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,R,5.7L V8 HEMI® MDS VVT eTorque w/ Stop/Start (4x4) Laramie,,,,,,,,,
1C6SRFU99PN502326,502326,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,F,3.6L V6 24V VVT eTorque with Stop/Start (4x4) Big Horn,,,,,,,,,
1C6SRFU9XPN502402,502402,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,G,,,,,,,,,,
1C6SRFU93PN503942,503942,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,S,,,,,,,,,,
1C6RRFLG2PN504403,504403,FLG,REBEL,4WD,6 Cylinder,,,,,,,,,,,,D,,,,,,,,,,
1C6RRFLG6PN504405,504405,FLG,REBEL,4WD,6 Cylinder,,,,,,,,,,,,N,,,,,,,,,,
1C6SRFU97PN504480,504480,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,C,,,,,,,,,,
1C6RREJTXPN506636,506636,EJT,Laramie,RWD,8 Cylinder,,,,,,,,,,,,V,,,,,,,,,,
1C6RREJTXPN506636,506636,EJT,LARAMIE,RWD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFHT5PN507528,507528,FHT,Limited,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFBT3PN508329,508329,FBT,BIG HORN,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFJTXPN508586,508586,FJT,LARAMIE,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFJTXPN508586,508586,FJT,LARAMIE,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFJT7PN508593,508593,FJT,LARAMIE,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFJT7PN508593,508593,FJT,LARAMIE,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFMT0PN508804,508804,FMT,BIG HORN,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
